Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0314004824;2023-02-09 10:00:00;0.12;R;1;R
0314004824;2023-02-09 09:00:00;0.15;R;0;R
0314004824;2023-02-09 08:00:00;0.19;R;-2;R
0314004824;2023-02-09 07:00:00;0.13;R;-5;R
0314004824;2023-02-09 06:00:00;0.12;R;-6;R
0314004824;2023-02-09 05:00:00;0.09;R;-5;R
0314004824;2023-02-09 04:00:00;0.11;R;-6;R
0314004824;2023-02-09 03:00:00;0.13;R;-4;R
0314004824;2023-02-09 02:00:00;0.10;R;-2;R
0314004824;2023-02-09 01:00:00;0.15;R;-2;R
0314004824;2023-02-09 00:00:00;0.18;R;-3;R
0314004824;2023-02-08 23:00:00;0.19;R;-2;R
0314004824;2023-02-08 22:00:00;0.17;R;-1;R
0314004824;2023-02-08 21:00:00;0.20;R;1;R
0314004824;2023-02-08 20:00:00;0.25;R;1;R
0314004824;2023-02-08 19:00:00;0.09;R;2;R
0314004824;2023-02-08 18:00:00;0.12;R;3;R
0314004824;2023-02-08 17:00:00;0.11;R;3;R
0314004824;2023-02-08 16:00:00;0.08;R;3;R
0314004824;2023-02-08 15:00:00;0.12;R;4;R
0314004824;2023-02-08 14:00:00;0.11;R;4;R
0314004824;2023-02-08 13:00:00;0.08;R;4;R
0314004824;2023-02-08 12:00:00;0.16;R;3;R
0314004824;2023-02-08 11:00:00;0.14;R;3;R
0314004824;2023-02-08 10:00:00;0.11;R;3;R
0314004824;2023-02-08 09:00:00;0.18;R;3;R
0314004824;2023-02-08 08:00:00;0.10;R;2;R
0314004824;2023-02-08 07:00:00;0.13;R;2;R
0314004824;2023-02-08 06:00:00;0.07;R;2;R
0314004824;2023-02-08 05:00:00;0.13;R;2;R
0314004824;2023-02-08 04:00:00;0.11;R;1;R
0314004824;2023-02-08 03:00:00;0.10;R;0;R
0314004824;2023-02-08 02:00:00;0.13;R;0;R
0314004824;2023-02-08 01:00:00;0.09;R;1;R
0314004824;2023-02-08 00:00:00;0.23;R;0;R
0314004824;2023-02-07 23:00:00;0.17;R;0;R
0314004824;2023-02-07 22:00:00;0.27;R;1;R
0314004824;2023-02-07 21:00:00;0.25;R;2;R
0314004824;2023-02-07 20:00:00;0.19;R;1;R
0314004824;2023-02-07 19:00:00;0.16;R;1;R
0314004824;2023-02-07 18:00:00;0.09;R;1;R
0314004824;2023-02-07 17:00:00;0.11;R;-4;R
0314004824;2023-02-07 16:00:00;0.11;R;-5;R
0314004824;2023-02-07 15:00:00;0.09;R;1;R
0314004824;2023-02-07 14:00:00;0.12;R;0;R
0314004824;2023-02-07 13:00:00;0.07;R;-1;R
0314004824;2023-02-07 12:00:00;0.13;R;-5;R
0314004824;2023-02-07 11:00:00;0.07;R;-6;R
0314004824;2023-02-07 10:00:00;0.12;R;-7;R
0314004824;2023-02-07 09:00:00;0.07;R;-10;R
0314004824;2023-02-07 08:00:00;0.16;R;-11;R
0314004824;2023-02-07 07:00:00;0.09;R;-15;R
0314004824;2023-02-07 06:00:00;0.15;R;-14;R
0314004824;2023-02-07 05:00:00;0.09;R;-14;R
0314004824;2023-02-07 04:00:00;0.15;R;-13;R
0314004824;2023-02-07 03:00:00;0.09;R;-13;R
0314004824;2023-02-07 02:00:00;0.14;R;-15;R
0314004824;2023-02-07 01:00:00;0.14;R;-11;R
0314004824;2023-02-07 00:00:00;0.27;R;-10;R
