Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
314004824;2022-06-11 04:00:00;0.11;R;13;R
315107746;2022-06-11 04:00:00;0.73;R;13;R
315107746;2022-06-11 05:00:00;0.0;R;15;R
314004824;2022-06-11 05:00:00;0.07;R;15;R
314004824;2022-06-11 06:00:00;0.12;R;17;R
315107746;2022-06-11 06:00:00;0.0;R;17;R
315107746;2022-06-11 07:00:00;0.0;R;18;R
314004824;2022-06-11 07:00:00;0.1;R;18;R
315107746;2022-06-11 08:00:00;0.0;R;19;R
314004824;2022-06-11 08:00:00;0.18;R;19;R
315107746;2022-06-11 09:00:00;0.08;R;20;R
314004824;2022-06-11 09:00:00;0.15;R;20;R
315107746;2022-06-11 10:00:00;0.17;R;22;R
314004824;2022-06-11 10:00:00;0.14;R;22;R
315107746;2022-06-11 11:00:00;0.94;R;23;R
314004824;2022-06-11 11:00:00;0.13;R;23;R
314004824;2022-06-11 12:00:00;0.15;R;23;R
315107746;2022-06-11 12:00:00;0.72;R;23;R
314004824;2022-06-11 13:00:00;0.23;R;24;R
315107746;2022-06-11 13:00:00;0.99;R;24;R
315107746;2022-06-11 14:00:00;0.31;R;24;R
314004824;2022-06-11 14:00:00;0.15;R;24;R
314004824;2022-06-11 15:00:00;0.1;R;25;R
315107746;2022-06-11 15:00:00;0.66;R;25;R
314004824;2022-06-11 16:00:00;0.13;R;25;R
315107746;2022-06-11 16:00:00;0.63;R;25;R
314004824;2022-06-11 17:00:00;0.17;R;24;R
315107746;2022-06-11 17:00:00;1.8;R;24;R
314004824;2022-06-11 18:00:00;0.16;R;23;R
315107746;2022-06-11 18:00:00;0.0;R;23;R
315107746;2022-06-11 19:00:00;0.0;R;21;R
314004824;2022-06-11 19:00:00;0.11;R;21;R
314004824;2022-06-11 20:00:00;0.1;R;20;R
315107746;2022-06-11 20:00:00;0.0;R;20;R
314004824;2022-06-11 21:00:00;0.21;R;19;R
315107746;2022-06-11 21:00:00;0.0;R;19;R
314004824;2022-06-11 22:00:00;0.13;R;19;R
315107746;2022-06-11 22:00:00;0.0;R;19;R
315107746;2022-06-11 23:00:00;0.49;R;18;R
314004824;2022-06-11 23:00:00;0.17;R;18;R
314004824;2022-06-12 00:00:00;0.18;R;17;R
315107746;2022-06-12 00:00:00;0.0;R;17;R
314004824;2022-06-12 01:00:00;0.12;R;16;R
315107746;2022-06-12 01:00:00;0.0;R;16;R
314004824;2022-06-12 02:00:00;0.11;R;16;R
315107746;2022-06-12 02:00:00;0.0;R;16;R
314004824;2022-06-12 03:00:00;0.12;R;15;R
315107746;2022-06-12 03:00:00;0.0;R;15;R
315107746;2022-06-12 04:00:00;0.0;R;16;R
314004824;2022-06-12 04:00:00;0.09;R;16;R
314004824;2022-06-12 05:00:00;0.1;R;17;R
315107746;2022-06-12 05:00:00;0.0;R;17;R
314004824;2022-06-12 06:00:00;0.12;R;19;R
315107746;2022-06-12 06:00:00;0.0;R;19;R
315107746;2022-06-12 07:00:00;0.0;R;19;R
314004824;2022-06-12 07:00:00;0.09;R;19;R
315107746;2022-06-12 08:00:00;0.0;R;21;R
314004824;2022-06-12 08:00:00;0.11;R;21;R
315107746;2022-06-12 09:00:00;0.04;R;23;R
314004824;2022-06-12 09:00:00;0.15;R;23;R
315107746;2022-06-12 10:00:00;0.2;R;24;R
314004824;2022-06-12 10:00:00;0.1;R;24;R
314004824;2022-06-12 11:00:00;0.09;R;23;R
315107746;2022-06-12 11:00:00;0.24;R;23;R
315107746;2022-06-12 12:00:00;0.84;R;24;R
314004824;2022-06-12 12:00:00;0.15;R;24;R
314004824;2022-06-12 13:00:00;0.17;R;24;R
315107746;2022-06-12 13:00:00;0.49;R;24;R
315107746;2022-06-12 14:00:00;1.09;R;22;R
314004824;2022-06-12 14:00:00;0.16;R;22;R
314004824;2022-06-12 15:00:00;0.24;R;21;R
315107746;2022-06-12 15:00:00;1.87;R;21;R
315107746;2022-06-12 16:00:00;0.39;R;21;R
314004824;2022-06-12 16:00:00;0.14;R;21;R
314004824;2022-06-12 17:00:00;0.35;R;21;R
315107746;2022-06-12 17:00:00;0.0;R;21;R
314004824;2022-06-12 18:00:00;0.3;R;21;R
315107746;2022-06-12 18:00:00;0.0;R;21;R
315107746;2022-06-12 19:00:00;0.0;R;21;R
314004824;2022-06-12 19:00:00;0.13;R;21;R
315107746;2022-06-12 20:00:00;0.48;R;21;R
314004824;2022-06-12 20:00:00;0.19;R;21;R
314004824;2022-06-12 21:00:00;0.18;R;20;R
315107746;2022-06-12 21:00:00;0.0;R;20;R
315107746;2022-06-12 22:00:00;0.0;R;20;R
314004824;2022-06-12 22:00:00;0.13;R;20;R
315107746;2022-06-12 23:00:00;0.0;R;19;R
314004824;2022-06-12 23:00:00;0.22;R;19;R
314004824;2022-06-13 00:00:00;0.11;R;19;R
315107746;2022-06-13 00:00:00;0.0;R;19;R
314004824;2022-06-13 01:00:00;0.14;R;19;R
315107746;2022-06-13 01:00:00;0.0;R;19;R
315107746;2022-06-13 02:00:00;0.0;R;17;R
314004824;2022-06-13 02:00:00;0.13;R;17;R
314004824;2022-06-13 03:00:00;0.08;R;16;R
315107746;2022-06-13 03:00:00;0.0;R;16;R
314004824;2022-06-13 04:00:00;0.12;R;17;R
315107746;2022-06-13 04:00:00;0.0;R;17;R
314004824;2022-06-13 05:00:00;0.13;R;18;R
315107746;2022-06-13 05:00:00;0.0;R;18;R
314004824;2022-06-13 06:00:00;0.09;R;19;R
315107746;2022-06-13 06:00:00;0.0;R;19;R
315107746;2022-06-13 07:00:00;0.62;R;20;R
314004824;2022-06-13 07:00:00;0.11;R;20;R
315107746;2022-06-13 08:00:00;0.0;R;21;R
314004824;2022-06-13 08:00:00;0.16;R;21;R
314004824;2022-06-13 09:00:00;0.15;R;21;R
315107746;2022-06-13 09:00:00;0.0;R;21;R
314004824;2022-06-13 10:00:00;0.14;R;22;R
315107746;2022-06-13 10:00:00;0.0;R;22;R
314004824;2022-06-13 11:00:00;0.17;R;22;R
315107746;2022-06-13 11:00:00;0.0;R;22;R
314004824;2022-06-13 12:00:00;0.22;R;23;R
315107746;2022-06-13 12:00:00;0.0;R;23;R
315107746;2022-06-13 13:00:00;0.0;R;22;R
314004824;2022-06-13 13:00:00;0.11;R;22;R
315107746;2022-06-13 14:00:00;0.0;R;23;R
314004824;2022-06-13 14:00:00;0.26;R;23;R
315107746;2022-06-13 15:00:00;0.0;R;22;R
314004824;2022-06-13 15:00:00;0.22;R;22;R
314004824;2022-06-13 16:00:00;0.12;R;22;R
315107746;2022-06-13 16:00:00;0.0;R;22;R
314004824;2022-06-13 17:00:00;0.18;R;21;R
315107746;2022-06-13 17:00:00;0.0;R;21;R
314004824;2022-06-13 18:00:00;0.16;R;20;R
315107746;2022-06-13 18:00:00;0.0;R;20;R
315107746;2022-06-13 19:00:00;0.0;R;19;R
314004824;2022-06-13 19:00:00;0.11;R;19;R
314004824;2022-06-13 20:00:00;0.15;R;18;R
315107746;2022-06-13 20:00:00;0.67;R;18;R
314004824;2022-06-13 21:00:00;0.31;R;17;R
315107746;2022-06-13 21:00:00;0.0;R;17;R
314004824;2022-06-13 22:00:00;0.16;R;17;R
315107746;2022-06-13 22:00:00;0.0;R;17;R
314004824;2022-06-13 23:00:00;0.22;R;16;R
315107746;2022-06-13 23:00:00;0.0;R;16;R
315107746;2022-06-14 00:00:00;0.0;R;15;R
314004824;2022-06-14 00:00:00;0.11;R;15;R
314004824;2022-06-14 01:00:00;0.17;R;15;R
315107746;2022-06-14 01:00:00;0.0;R;15;R
315107746;2022-06-14 02:00:00;0.0;R;15;R
314004824;2022-06-14 02:00:00;0.08;R;15;R
315107746;2022-06-14 03:00:00;0.0;R;14;R
314004824;2022-06-14 03:00:00;0.14;R;14;R
314004824;2022-06-14 04:00:00;0.1;R;14;R
315107746;2022-06-14 04:00:00;0.0;R;14;R
315107746;2022-06-14 05:00:00;0.0;R;16;R
314004824;2022-06-14 05:00:00;0.12;R;16;R
315107746;2022-06-14 06:00:00;0.0;R;19;R
314004824;2022-06-14 06:00:00;0.12;R;19;R
314004824;2022-06-14 07:00:00;0.1;R;20;R
315107746;2022-06-14 07:00:00;0.71;R;20;R
314004824;2022-06-14 08:00:00;0.16;R;22;R
315107746;2022-06-14 08:00:00;0.0;R;22;R
314004824;2022-06-14 09:00:00;0.11;R;23;R
315107746;2022-06-14 09:00:00;0.0;R;23;R
315107746;2022-06-14 10:00:00;0.0;R;24;R
314004824;2022-06-14 10:00:00;0.22;R;24;R
315107746;2022-06-14 11:00:00;0.0;R;23;R
314004824;2022-06-14 11:00:00;0.22;R;23;R
314004824;2022-06-14 12:00:00;0.21;R;25;R
315107746;2022-06-14 12:00:00;0.0;R;25;R
315107746;2022-06-14 13:00:00;0.0;R;25;R
314004824;2022-06-14 13:00:00;0.22;R;25;R
314004824;2022-06-14 14:00:00;0.11;R;26;R
315107746;2022-06-14 14:00:00;0.0;R;26;R
315107746;2022-06-14 15:00:00;0.0;R;27;R
314004824;2022-06-14 15:00:00;0.16;R;27;R
315107746;2022-06-14 16:00:00;0.0;R;25;R
314004824;2022-06-14 16:00:00;0.09;R;25;R
314004824;2022-06-14 17:00:00;0.18;R;24;R
315107746;2022-06-14 17:00:00;0.0;R;24;R
314004824;2022-06-14 18:00:00;0.23;R;22;R
315107746;2022-06-14 18:00:00;0.0;R;22;R
314004824;2022-06-14 19:00:00;0.09;R;21;R
315107746;2022-06-14 19:00:00;0.73;R;21;R
314004824;2022-06-14 20:00:00;0.17;R;20;R
315107746;2022-06-14 20:00:00;0.0;R;20;R
315107746;2022-06-14 21:00:00;0.0;R;20;R
314004824;2022-06-14 21:00:00;0.2;R;20;R
314004824;2022-06-14 22:00:00;0.16;R;20;R
315107746;2022-06-14 22:00:00;0.0;R;20;R
315107746;2022-06-14 23:00:00;0.0;R;19;R
314004824;2022-06-14 23:00:00;0.19;R;19;R
315107746;2022-06-15 00:00:00;0.0;R;18;R
314004824;2022-06-15 00:00:00;0.23;R;18;R
315107746;2022-06-15 01:00:00;0.0;R;17;R
314004824;2022-06-15 01:00:00;0.19;R;17;R
314004824;2022-06-15 02:00:00;0.23;R;16;R
315107746;2022-06-15 02:00:00;0.0;R;16;R
315107746;2022-06-15 03:00:00;0.0;R;15;R
314004824;2022-06-15 03:00:00;0.18;R;15;R
314004824;2022-06-15 04:00:00;0.11;R;15;R
315107746;2022-06-15 04:00:00;0.0;R;15;R
315107746;2022-06-15 05:00:00;0.0;R;17;R
314004824;2022-06-15 05:00:00;0.15;R;17;R
314004824;2022-06-15 06:00:00;0.1;R;18;R
315107746;2022-06-15 06:00:00;0.0;R;18;R
315107746;2022-06-15 07:00:00;0.72;R;20;R
314004824;2022-06-15 07:00:00;0.13;R;20;R
315107746;2022-06-15 08:00:00;0.04;R;21;R
314004824;2022-06-15 08:00:00;0.24;R;21;R
314004824;2022-06-15 09:00:00;0.11;R;22;R
315107746;2022-06-15 09:00:00;0.0;R;22;R
315107746;2022-06-15 10:00:00;0.0;R;22;R
314004824;2022-06-15 10:00:00;0.18;R;22;R
315107746;2022-06-15 11:00:00;0.0;R;23;R
314004824;2022-06-15 11:00:00;0.1;R;23;R
315107746;2022-06-15 12:00:00;0.0;R;23;R
314004824;2022-06-15 12:00:00;0.15;R;23;R
315107746;2022-06-15 13:00:00;0.0;R;24;R
314004824;2022-06-15 13:00:00;0.26;R;24;R
314004824;2022-06-15 14:00:00;0.12;R;24;R
315107746;2022-06-15 14:00:00;0.0;R;24;R
315107746;2022-06-15 15:00:00;0.0;R;24;R
314004824;2022-06-15 15:00:00;0.17;R;24;R
315107746;2022-06-15 16:00:00;0.0;R;24;R
314004824;2022-06-15 16:00:00;0.16;R;24;R
315107746;2022-06-15 17:00:00;0.0;R;24;R
314004824;2022-06-15 17:00:00;0.16;R;24;R
314004824;2022-06-15 18:00:00;0.18;R;23;R
315107746;2022-06-15 18:00:00;0.0;R;23;R
315107746;2022-06-15 19:00:00;0.0;R;23;R
314004824;2022-06-15 19:00:00;0.08;R;23;R
315107746;2022-06-15 20:00:00;0.71;R;23;R
314004824;2022-06-15 20:00:00;0.24;R;23;R
315107746;2022-06-15 21:00:00;0.0;R;22;R
314004824;2022-06-15 21:00:00;0.21;R;22;R
314004824;2022-06-15 22:00:00;0.35;R;22;R
315107746;2022-06-15 22:00:00;0.0;R;22;R
315107746;2022-06-15 23:00:00;0.0;R;21;R
314004824;2022-06-15 23:00:00;0.25;R;21;R
314004824;2022-06-16 00:00:00;0.15;R;21;R
315107746;2022-06-16 00:00:00;0.0;R;21;R
314004824;2022-06-16 01:00:00;0.14;R;20;R
315107746;2022-06-16 01:00:00;0.0;R;20;R
315107746;2022-06-16 02:00:00;0.0;R;19;R
314004824;2022-06-16 02:00:00;0.08;R;19;R
314004824;2022-06-16 03:00:00;0.14;R;19;R
315107746;2022-06-16 03:00:00;0.0;R;19;R
315107746;2022-06-16 04:00:00;0.0;R;20;R
314004824;2022-06-16 04:00:00;0.12;R;20;R
315107746;2022-06-16 05:00:00;0.0;R;20;R
314004824;2022-06-16 05:00:00;0.09;R;20;R
314004824;2022-06-16 06:00:00;0.15;R;21;R
315107746;2022-06-16 06:00:00;0.0;R;21;R
314004824;2022-06-16 07:00:00;0.13;R;22;R
315107746;2022-06-16 07:00:00;0.0;R;22;R
314004824;2022-06-16 08:00:00;0.09;R;22;R
315107746;2022-06-16 08:00:00;0.66;R;22;R
314004824;2022-06-16 09:00:00;0.14;R;20;R
315107746;2022-06-16 09:00:00;0.0;R;20;R
314004824;2022-06-16 10:00:00;0.08;R;23;R
315107746;2022-06-16 10:00:00;0.0;R;23;R
314004824;2022-06-16 11:00:00;0.13;R;25;R
315107746;2022-06-16 11:00:00;0.0;R;25;R
315107746;2022-06-16 12:00:00;0.0;R;26;R
314004824;2022-06-16 12:00:00;0.12;R;26;R
315107746;2022-06-16 13:00:00;0.0;R;27;R
314004824;2022-06-16 13:00:00;0.09;R;27;R
315107746;2022-06-16 14:00:00;0.0;R;24;R
314004824;2022-06-16 14:00:00;0.14;R;24;R
314004824;2022-06-16 15:00:00;0.08;R;21;R
315107746;2022-06-16 15:00:00;0.0;R;21;R
314004824;2022-06-16 16:00:00;0.12;R;21;R
315107746;2022-06-16 16:00:00;0.0;R;21;R
314004824;2022-06-16 17:00:00;0.13;R;21;R
315107746;2022-06-16 17:00:00;0.0;R;21;R
314004824;2022-06-16 18:00:00;0.08;R;21;R
315107746;2022-06-16 18:00:00;0.0;R;21;R
314004824;2022-06-16 19:00:00;0.2;R;21;R
315107746;2022-06-16 19:00:00;0.0;R;21;R
314004824;2022-06-16 20:00:00;0.22;R;21;R
315107746;2022-06-16 20:00:00;0.78;R;21;R
314004824;2022-06-16 21:00:00;0.2;R;20;R
